Time,price
06-05-2023 01:00:00,4.3
07-05-2023 01:00:00,4.3
08-05-2023 01:00:00,4.3
09-05-2023 01:00:00,4.3
10-05-2023 01:00:00,4.4
11-05-2023 01:00:00,4.3
12-05-2023 01:00:00,4.2
13-05-2023 01:00:00,4.2
14-05-2023 01:00:00,4.2
15-05-2023 01:00:00,4.2
16-05-2023 01:00:00,4.0
17-05-2023 01:00:00,4.0
18-05-2023 01:00:00,3.9
19-05-2023 01:00:00,3.6
20-05-2023 01:00:00,3.6
21-05-2023 01:00:00,3.6
22-05-2023 01:00:00,3.7
23-05-2023 01:00:00,3.6
24-05-2023 01:00:00,3.8
25-05-2023 01:00:00,3.7
26-05-2023 01:00:00,3.4
27-05-2023 01:00:00,3.4
28-05-2023 01:00:00,3.4
29-05-2023 01:00:00,3.4
30-05-2023 01:00:00,3.4
31-05-2023 01:00:00,3.5
01-06-2023 01:00:00,3.6
02-06-2023 01:00:00,3.3
03-06-2023 01:00:00,3.4
04-06-2023 01:00:00,3.4
05-06-2023 01:00:00,3.3
06-06-2023 01:00:00,3.8
07-06-2023 01:00:00,3.6
08-06-2023 01:00:00,3.7
09-06-2023 01:00:00,3.7
10-06-2023 01:00:00,4.1
11-06-2023 01:00:00,4.1
12-06-2023 01:00:00,4.2
13-06-2023 01:00:00,4.1
14-06-2023 01:00:00,4.0
15-06-2023 01:00:00,4.8
16-06-2023 01:00:00,5.1
17-06-2023 01:00:00,4.3
18-06-2023 01:00:00,4.3
19-06-2023 01:00:00,4.3
20-06-2023 01:00:00,4.2
21-06-2023 01:00:00,4.8
22-06-2023 01:00:00,4.7
23-06-2023 01:00:00,4.5
24-06-2023 01:00:00,4.2
25-06-2023 01:00:00,4.2
26-06-2023 01:00:00,4.2
27-06-2023 01:00:00,4.3
28-06-2023 01:00:00,4.4
29-06-2023 01:00:00,4.4
30-06-2023 01:00:00,4.4
01-07-2023 01:00:00,4.4
02-07-2023 01:00:00,4.4
03-07-2023 01:00:00,4.4
04-07-2023 01:00:00,4.4
05-07-2023 01:00:00,4.4
06-07-2023 01:00:00,4.2
07-07-2023 01:00:00,4.2
08-07-2023 01:00:00,4.2
09-07-2023 01:00:00,4.2
10-07-2023 01:00:00,4.1
11-07-2023 01:00:00,3.9
12-07-2023 01:00:00,3.8
13-07-2023 01:00:00,3.6
14-07-2023 01:00:00,3.6
15-07-2023 01:00:00,3.6
16-07-2023 01:00:00,3.6
17-07-2023 01:00:00,3.6
18-07-2023 01:00:00,3.6
19-07-2023 01:00:00,3.7
