,year,case,rep,zones_controlled,onoffseed,tempseed,cost,cumulative_emissions,comfort_violation (%),mean_comfort_violation,std_comfort_violation,building_cost,sensing_cost,control_names,retrofit_name,installation_cost,name
160,2023,3,0,4,5,42,360.9167758785908,0.8199767807641293,31.035007610350075,0.344973358882392,1.054564247471961,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
161,2022,14,0,0,15,42,215.90000476490684,0.10894275282848603,35.601217656012174,0.6429169731515773,1.9048228423232885,,0,Manual Control,,,
162,2022,10,0,4,5,42,1949.721148208087,0.9707494582622784,12.70738203957382,0.0174640896854285,0.1180071695658455,48000.0,240,Partial Control,System - ASHP+PV+Batt,48240.0,System - ASHP+PV+Batt Partial Control
163,2022,0,0,4,5,30,1762.1305511554312,3.692384214715017,4.528158295281583,0.0116441100311819,0.1039936766189644,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
164,2022,0,0,9,5,42,1424.324178669931,2.951908865402867,11.23097412480974,0.0433675718519042,0.2600165670250774,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
165,2023,0,0,4,5,15,1242.8481370460975,4.343339271707623,4.779299847792998,0.0071378612958319,0.0674458022398096,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
166,2022,5,0,0,5,15,4212.3882817534395,2.111590965832435,0.1807458143074581,0.0017478134863277,0.0563571937869245,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
167,2022,0,0,4,10,42,1492.363541633577,3.0974280298247283,26.558219178082197,0.9676984240549268,2.565993912364211,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
168,2022,0,0,4,5,42,1636.1604497414994,3.4142692287250274,10.736301369863014,0.01570659695143,0.1152699983073836,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
169,2022,0,0,0,10,15,2258.382637952052,4.7782129661100985,14.805936073059362,0.6062346418895833,2.149116649537416,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
170,2023,3,0,0,10,42,366.9943369294842,0.8373751944354725,39.11529680365297,0.5042015705608285,1.2117594093992865,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
171,2022,3,0,0,10,15,807.6741206279527,1.32819588604285,3.428462709284627,0.0915437355713964,0.8089486576016354,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
172,2022,5,0,4,15,15,2992.340132981062,1.533412793001119,20.053272450532724,0.6126193812998011,1.97237330485422,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
173,2022,2,0,0,15,15,1722.1992872132626,3.654676744142951,12.890030441400304,0.4241063896502849,1.780665980434173,16000.0,0,Manual Control,Fabric - Shallow,16000.0,Fabric - Shallow Manual Control
174,2022,4,0,0,15,15,624.6038490234778,0.9590872949985141,11.293759512937596,0.3607773541938389,1.764116373154167,71000.0,0,Manual Control,Fabric - Passivhaus,71000.0,Fabric - Passivhaus Manual Control
175,2023,10,0,0,10,15,1915.5403016883904,1.211778265744432,15.11986301369863,0.6308075639135585,2.2069833787295177,48000.0,0,Manual Control,System - ASHP+PV+Batt,48000.0,System - ASHP+PV+Batt Manual Control
176,2022,0,0,4,15,30,1558.977969381952,3.2509983434682597,25.439497716894977,1.003154174898503,2.6146746224481654,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
177,2022,10,0,0,10,42,2014.507431407089,1.02090949497477,28.60540334855403,1.381644177001605,3.5448963607817685,48000.0,0,Manual Control,System - ASHP+PV+Batt,48000.0,System - ASHP+PV+Batt Manual Control
178,2022,2,0,4,10,30,1252.2494589464632,2.615458184573324,25.60882800608828,0.7102656033711573,1.991604870609196,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
179,2022,2,0,4,5,42,1278.019776004373,2.6656811267145595,18.234398782343987,0.0852412917577103,0.3800419604672383,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
180,2022,10,0,9,10,42,1645.1212636691998,0.815310919877461,12.201293759512938,0.0404786324133178,0.2422128096481471,48000.0,520,Full Control,System - ASHP+PV+Batt,48520.0,System - ASHP+PV+Batt Full Control
181,2023,2,0,9,5,15,673.6820412490923,2.31278983823294,22.054794520547947,0.2048794898351153,0.7443444637835733,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
182,2023,5,0,4,5,42,2007.047823975476,1.2881331543205425,14.130517503805176,0.0154552653088962,0.1072013087414018,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
183,2023,0,0,1,15,30,1023.0772427734172,3.5434897677690698,24.619482496194824,1.3386136824438737,3.452089159912373,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
184,2022,14,0,9,15,30,161.9266145924592,0.07983626945682257,31.974885844748854,1.3666098566281732,3.1313373171230023,,520,Full Control,,,
185,2023,10,0,4,15,42,1239.2123568152417,0.8055580249512445,32.682648401826484,1.1963436665102816,2.8629075433126125,48000.0,240,Partial Control,System - ASHP+PV+Batt,48240.0,System - ASHP+PV+Batt Partial Control
186,2023,1,0,0,15,42,915.0082166569799,3.1453655050666978,33.784246575342465,1.725580326364683,4.045556364392834,3800.0,0,Manual Control,Fabric - Low cost,3800.0,Fabric - Low cost Manual Control
187,2022,2,0,4,15,30,1228.1377657907883,2.565746432687458,27.928082191780824,0.8591791634984959,2.2860085397851058,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
188,2023,1,0,0,15,30,1024.63460742486,3.5572038177332836,23.58257229832573,1.2907460891543077,3.3714291426204976,3800.0,0,Manual Control,Fabric - Low cost,3800.0,Fabric - Low cost Manual Control
189,2022,2,0,4,5,30,1379.4115248074586,2.8904822845290936,10.028538812785389,0.0717730126415929,0.3491164960348584,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
190,2023,0,0,9,10,15,864.6438924055233,2.9611804267023922,12.3382800608828,0.0371417608054066,0.2189081993906933,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
191,2023,3,0,4,10,30,360.37095588258353,0.82551144345608,21.154870624048705,0.4534723923448037,1.5013034759508874,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
192,2022,5,0,0,10,30,2893.423714199817,1.4797602759112216,21.691400304414003,1.100847969613842,3.058416789194017,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
193,2023,5,0,4,10,15,2273.6906807735945,1.430014509803693,18.837519025875192,0.5121627061526897,1.6916451799943788,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
194,2022,0,0,4,15,15,1763.330793405838,3.7016097863197603,20.279680365296805,0.6405855123581906,2.0275586027154637,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
195,2022,1,0,4,5,15,1955.8108632522928,4.12105230265899,5.631659056316591,0.0200558841427718,0.1506318915946987,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
196,2022,4,0,4,10,42,481.0527451562055,0.6001748349288124,33.98401826484018,1.0711701590264278,2.623386911907805,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
197,2022,0,0,1,15,15,2023.557122064013,4.277999540459998,17.661719939117198,0.759246766674642,2.515251648871848,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
198,2023,2,0,4,15,30,745.4599908245473,2.573687726841178,28.871765601217657,0.85163481384881,2.2484011553627075,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
199,2022,1,0,4,10,42,1424.3597342387716,2.9607383066436324,28.261035007610356,0.9688823647007864,2.537505710877272,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
200,2023,5,0,9,5,15,1778.0796200830491,1.1325225844710416,13.131659056316591,0.0318824727693292,0.2059401250908944,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
201,2023,10,0,0,5,30,1796.4783650316542,1.1510689695306322,0.121765601217656,0.0005314164288123,0.0205601820582824,48000.0,0,Manual Control,System - ASHP+PV+Batt,48000.0,System - ASHP+PV+Batt Manual Control
202,2023,14,0,9,10,42,90.78400535650216,0.0591682811242529,33.90981735159818,1.3568531109226594,3.139687987881909,,520,Full Control,,,
203,2023,5,0,0,10,30,2151.523621758861,1.3344204176071837,21.820776255707763,1.0893739992501417,3.027510471541188,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
204,2023,0,0,0,10,15,1373.7997107911892,4.834965150899617,14.634703196347033,0.6068567181887053,2.0899082020523907,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
205,2023,0,0,4,10,15,1098.3105932098865,3.8291683426613976,18.64916286149163,0.5340526130503828,1.7491006011723838,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
206,2023,3,0,0,5,30,442.4204642180074,1.096478827526378,0.5745814307458144,0.0030290218569141,0.0647573049889532,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
207,2022,3,0,9,5,30,542.5037938108381,0.7261856664248787,25.09512937595129,0.7592987898313243,2.1364461455195296,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
208,2022,2,0,9,10,42,1113.747554307853,2.313644126761618,20.842846270928465,0.2165023828333393,0.7844079175542551,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
209,2023,4,0,4,10,30,301.8326051082177,0.6312024945487956,27.19368340943684,0.8947595870675181,2.4844425690608816,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
210,2023,2,0,4,15,42,697.6785786907905,2.3939938863157817,35.403348554033485,1.1087040180335508,2.6313217116345267,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
211,2022,2,0,0,10,15,1801.92684427377,3.8166504491798094,11.974885844748858,0.367389879201034,1.5638481644297166,16000.0,0,Manual Control,Fabric - Shallow,16000.0,Fabric - Shallow Manual Control
212,2023,10,0,4,15,30,1313.6828167076126,0.8542087205259438,26.1910197869102,0.9640571795133784,2.508243968477426,48000.0,240,Partial Control,System - ASHP+PV+Batt,48240.0,System - ASHP+PV+Batt Partial Control
213,2023,2,0,0,10,30,882.891118409708,3.062291969717074,19.010654490106543,0.8154691476042047,2.413196509447873,16000.0,0,Manual Control,Fabric - Shallow,16000.0,Fabric - Shallow Manual Control
214,2022,4,0,4,15,30,492.4158621420853,0.6351303146585288,26.428843226788437,1.0034272522317964,2.731182742784537,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
215,2022,0,0,0,5,15,2644.247155691275,5.592885863842387,0.0038051750380517,1.6077734182823076e-05,0.0028615842690886,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
216,2022,14,0,0,15,15,273.4822877152474,0.13844061812793484,10.150304414003044,0.2924355703794585,1.5363348919165372,,0,Manual Control,,,
217,2022,0,0,9,10,15,1424.324178669931,2.951908865402867,11.23097412480974,0.0433675718519042,0.2600165670250774,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
218,2022,10,0,4,10,30,1934.996162039474,0.9681999591765271,22.437214611872147,0.7804750296424202,2.2202849337995856,48000.0,240,Partial Control,System - ASHP+PV+Batt,48240.0,System - ASHP+PV+Batt Partial Control
219,2022,2,0,0,5,30,1659.2513326834817,3.486443067010322,0.045662100456621,0.0003358195028084,0.0224551548596567,16000.0,0,Manual Control,Fabric - Shallow,16000.0,Fabric - Shallow Manual Control
220,2023,14,0,0,15,30,160.62785194788745,0.10636662557785403,14.613774733637747,0.3462158077141151,1.411416061566135,,0,Manual Control,,,
