timestep,year,month,day,hour,Zone Operative Temperature(hall_downstairs),Zone Air Temperature(hall_downstairs),Zone Operative Temperature(front_room),Zone Air Temperature(front_room),Zone Operative Temperature(kitchen),Zone Air Temperature(kitchen),Zone Operative Temperature(backroom),Zone Air Temperature(backroom),Zone Operative Temperature(bedroom_3),Zone Air Temperature(bedroom_3),Zone Operative Temperature(bedroom_1),Zone Air Temperature(bedroom_1),Zone Operative Temperature(hall_upstairs),Zone Air Temperature(hall_upstairs),Zone Operative Temperature(bathroom),Zone Air Temperature(bathroom),Zone Operative Temperature(bedroom_2),Zone Air Temperature(bedroom_2),Zone People Occupant Count(front_room),Zone People Occupant Count(kitchen),Zone People Occupant Count(backroom),Zone People Occupant Count(bedroom_3),Zone People Occupant Count(bedroom_1),Zone People Occupant Count(hall_upstairs),Zone People Occupant Count(bathroom),Zone People Occupant Count(bedroom_2)
40464,2022.0,10.0,9.0,0.0,19.997599,20.251896,19.425272,19.177881,19.136044,18.825274,19.660427,19.899,19.275219,19.015366,18.933226,18.738516,19.281849,18.928179,18.414892,18.025915,18.35,18.010368,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
40465,2022.0,10.0,9.0,0.0,19.594921,19.360409,19.779972,19.874601,19.112959,18.80148,19.297663,19.085726,19.079084,18.767355,19.214756,19.300516,19.22425,18.871252,18.37304,17.983767,19.069925,19.393936,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
40466,2022.0,10.0,9.0,0.0,19.400057,19.075745,19.544329,19.361708,19.089647,18.776926,19.11339,18.812248,19.001122,18.683619,18.989,18.801006,19.171995,18.819012,18.334448,17.944492,19.337103,19.705305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
40467,2022.0,10.0,9.0,0.0,19.332674,18.998478,19.41298,19.171774,19.067322,18.75379,19.05427,18.742971,19.548569,19.766851,18.891504,18.69295,19.125116,18.772552,18.29888,17.908108,18.699694,18.416756,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
40468,2022.0,10.0,9.0,0.0,19.285957,18.94965,19.357426,19.107067,19.045,18.730253,19.63368,19.865705,19.141367,18.873264,18.85411,18.654774,19.081224,18.728395,18.265446,17.87361,18.484716,18.13681,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
40469,2022.0,10.0,9.0,0.0,19.247961,18.91042,19.318523,19.0664,19.023163,18.707293,19.260052,19.034386,18.96169,18.645138,18.819267,18.617857,19.04049,18.687347,18.234047,17.841064,18.410238,18.054544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40470,2022.0,10.0,9.0,1.0,19.213997,18.875544,19.28417,19.029902,19.001524,18.684385,19.07623,18.764101,18.894178,18.572279,18.787346,18.583574,19.002728,18.649567,18.205286,17.812052,18.358284,18.002146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40471,2022.0,10.0,9.0,1.0,19.182858,18.843208,19.253914,18.998608,18.98035,18.6617,19.01979,18.700968,18.842197,18.519836,18.75849,18.553167,18.967184,18.613214,18.177465,17.78269,18.315954,17.958954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40472,2022.0,10.0,9.0,1.0,19.1527,18.81145,19.226408,18.971119,18.95917,18.638956,18.977562,18.656416,18.795984,18.47249,19.02463,19.072737,18.932089,18.57617,18.148542,17.750294,19.026691,19.331339,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
40473,2022.0,10.0,9.0,1.0,19.122898,18.779772,19.19851,18.941662,18.937244,18.614985,18.94123,18.617508,19.359537,19.570461,18.83136,18.639532,18.89772,18.53982,18.120321,17.719385,18.539623,18.237463,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
40474,2022.0,10.0,9.0,1.0,19.094852,18.74996,19.566921,19.65426,18.915874,18.591677,18.909864,18.584057,18.968004,18.694492,18.73628,18.528309,18.865355,18.505663,18.093521,17.690094,19.095629,19.397362,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
40475,2022.0,10.0,9.0,1.0,19.067856,18.720829,19.336302,19.139446,18.894495,18.568111,18.880838,18.552675,18.792877,18.466955,18.703608,18.492167,18.834087,18.472351,18.067476,17.66152,19.332476,19.677248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
40476,2022.0,10.0,9.0,2.0,19.042213,18.693556,19.211958,18.958315,18.873854,18.545732,18.854471,18.524488,18.73323,18.400606,18.674181,18.461449,18.804401,18.440962,18.042171,17.633686,18.675919,18.368977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40477,2022.0,10.0,9.0,2.0,19.015436,18.663546,19.1614,18.896826,18.85168,18.520145,18.827608,18.493984,18.68427,18.348295,18.956242,19.012333,18.773975,18.407158,18.016037,17.603703,18.447624,18.07434,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
40478,2022.0,10.0,9.0,2.0,18.98944,18.634813,19.12772,18.860916,18.830023,18.495682,18.802065,18.465662,18.642439,18.304262,18.744583,18.542107,18.744392,18.374353,17.989555,17.572771,19.107029,19.383461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
40479,2022.0,10.0,9.0,2.0,18.963192,18.605421,19.097637,18.827953,18.80773,18.470114,19.395075,19.599833,19.20994,19.40477,18.649343,18.430141,18.714836,18.341242,17.963036,17.541859,18.596497,18.271269,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
40480,2022.0,10.0,9.0,2.0,18.937323,18.576206,19.069527,18.796993,18.785341,18.444319,19.032436,18.777985,18.813652,18.514463,18.616722,18.394018,18.68572,18.308453,17.936718,17.511127,18.379202,17.987041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40481,2022.0,10.0,9.0,2.0,18.912266,18.547892,19.04199,18.765915,18.762909,18.41846,18.851372,18.509388,18.64393,18.295103,18.584953,18.358768,18.657541,18.277088,17.91159,17.482628,18.300037,17.899616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40482,2022.0,10.0,9.0,3.0,18.8879,18.520235,19.017645,18.74011,18.74128,18.39383,18.798033,18.44806,19.203188,19.391544,18.557844,18.330107,18.629688,18.245434,17.885494,17.451355,18.239809,17.83549,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
40483,2022.0,10.0,9.0,3.0,18.864697,18.495386,18.993666,18.714869,18.720348,18.371256,18.757412,18.404623,18.793737,18.485718,18.531412,18.302279,18.603352,18.217365,17.86142,17.425167,18.188831,17.783747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
