,year,case,rep,zones_controlled,onoffseed,tempseed,comforttemp,setbacktemp,cost,cumulative_emissions,comfort_violation (%),mean_comfort_violation,std_comfort_violation,building_cost,sensing_cost,control_names,retrofit_name,installation_cost,name
4866,2022,4,0,9,5,30,18,13,380.49813117703457,0.37916478827443423,23.224885844748854,0.6157776833275684,1.9317541081175111,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
4867,2023,1,0,1,10,42,19,17,904.9530428145974,3.0840640487797852,19.674657534246577,0.6673429147750309,1.752743988375023,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
4868,2023,14,0,9,15,42,21,13,72.10254195308576,0.04564911650846334,37.88051750380518,2.129468269033891,4.545103913915333,,520,Full Control,,,
4869,2022,3,0,0,15,42,19,17,578.6050684215695,0.7849355162046918,13.4779299847793,0.2407771713858396,0.9571457414159464,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
4870,2023,10,0,1,5,15,19,17,1996.170159615524,1.2692752227612258,0.928462709284627,9.404589152738292e-05,0.0016270112547445,48000.0,60,One Zone Controlled,System - ASHP+PV+Batt,48060.0,System - ASHP+PV+Batt One Zone Controlled
4871,2022,3,0,9,5,42,21,15,550.1204618727306,0.7546909764161976,31.963470319634705,1.0205572641280922,2.606010137546513,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
4872,2022,3,0,9,5,30,18,17,506.20294664916355,0.6100493350600096,15.574581430745816,0.0547232242888321,0.2732804257896443,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
4873,2022,5,0,4,15,42,21,13,2155.2691361294837,1.1008952385936224,57.10806697108068,2.504243980331684,4.519548188610436,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
4874,2023,3,0,1,10,42,21,13,337.9519321611375,0.7451404687672135,45.07990867579908,1.850005772052878,2.977825964839995,51000.0,60,One Zone Controlled,Fabric - Deep,51060.0,Fabric - Deep One Zone Controlled
4875,2023,2,0,4,15,42,18,13,542.9886939471197,1.8425924791949655,32.1841704718417,0.6350976284044547,1.957583467379387,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
4876,2023,14,0,4,10,10,19,13,96.6556019496018,0.062468590367782816,17.64840182648402,0.4758301202226445,1.6812223318299082,,240,Partial Control,,,
4877,2023,10,0,9,5,30,18,15,944.6873747468636,0.6217905924390752,31.1910197869102,0.000875115702225,0.0044100894141398,48000.0,520,Full Control,System - ASHP+PV+Batt,48520.0,System - ASHP+PV+Batt Full Control
4878,2022,0,0,4,10,42,20,13,1221.011015515077,2.521224697987585,50.114155251141554,1.2513739807482267,3.341036570795712,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
4879,2022,0,0,9,10,10,21,13,1231.2515824936554,2.5580499998222317,49.79261796042618,0.1241401238294264,0.3869233203827027,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
4880,2023,4,0,4,15,30,20,13,276.2475527581372,0.546789817309428,30.67732115677321,1.1668967028682704,3.0903761192687096,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
4881,2023,5,0,9,15,42,20,15,1531.6588195325166,0.9837856804861284,46.73325722983257,0.0217314704739663,0.060012500962863,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
4882,2023,2,0,1,5,30,21,15,882.1658502872164,3.0570712746176536,34.836377473363775,0.0233897316261132,0.1158315715979376,16000.0,60,One Zone Controlled,Fabric - Shallow,16060.0,Fabric - Shallow One Zone Controlled
4883,2022,0,0,1,10,42,19,15,1405.1556208278066,2.89038120865784,22.52092846270929,1.0766252014287467,2.965477791497134,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
4884,2023,14,0,1,5,10,18,13,224.36564743703292,0.1425028491262671,0.6563926940639269,0.0033370405073314,0.0673748871672931,,60,One Zone Controlled,,,
4885,2023,0,0,4,10,30,18,17,928.1085273021204,3.160253439536912,24.929604261796044,0.1867555905502969,0.5729069115944679,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
4886,2022,1,0,4,5,15,18,15,1681.45715281478,3.493137983646444,16.980593607305934,0.0022800692147651,0.0108975960442006,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
4887,2022,5,0,9,10,42,21,17,2672.010944013962,1.347104622402647,46.727549467275495,0.0173029012017287,0.0471258476830894,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
4888,2022,2,0,4,15,10,19,15,1151.3805216105402,2.376263239916409,33.654870624048705,0.6019179879220147,1.846727516095437,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
4889,2023,10,0,0,10,15,21,13,1697.9397820916392,1.079563168357279,21.118721461187214,1.4410535622368368,4.012748035988679,48000.0,0,Manual Control,System - ASHP+PV+Batt,48000.0,System - ASHP+PV+Batt Manual Control
4890,2023,1,0,9,10,42,21,13,715.7748219346186,2.47191390685231,53.11834094368341,0.1635952853235133,0.5021388083254766,3800.0,520,Full Control,Fabric - Low cost,4320.0,Fabric - Low cost Full Control
4891,2023,5,0,0,15,10,21,13,1807.448560173433,1.2035342074965856,28.3675799086758,2.2853628834400435,5.484727801949248,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
4892,2022,3,0,9,15,15,19,13,469.05180117117095,0.5637340169830108,23.272450532724505,0.4751445613000989,1.669862406767704,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
4893,2022,14,0,0,10,30,19,13,240.7882713274278,0.12059788311037176,8.18683409436834,0.180737423210321,1.1422833563306447,,0,Manual Control,,,
4894,2023,3,0,1,5,15,21,17,504.26167492876556,1.3328017680373423,3.280060882800609,0.0221342636501287,0.1996662154595297,51000.0,60,One Zone Controlled,Fabric - Deep,51060.0,Fabric - Deep One Zone Controlled
4895,2022,0,0,4,15,30,21,15,1428.3203646749607,2.948825748541597,53.3675799086758,1.7876046421999523,4.071212524902056,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
4896,2022,14,0,9,10,42,21,15,155.79762507634058,0.07738367908777755,36.70471841704718,1.927564256131788,3.9904281602633342,,520,Full Control,,,
4897,2023,4,0,4,10,30,21,13,286.9925046273572,0.5855172182287374,40.24733637747337,1.809928590799981,3.8612766081735166,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
4898,2023,5,0,4,15,42,18,17,1628.3250147948315,1.0805590026851122,27.186073059360734,0.2625754747778622,0.7069769360523085,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
4899,2022,4,0,0,5,10,20,17,682.3912990843814,1.0417080844037543,1.9615677321156773,0.0313304476676315,0.3451310220680956,71000.0,0,Manual Control,Fabric - Passivhaus,71000.0,Fabric - Passivhaus Manual Control
4900,2023,3,0,0,15,42,19,13,340.70360874084855,0.7510576193444679,15.182648401826484,0.2633691404307767,1.0691814948676384,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
4901,2023,0,0,1,5,10,19,17,1252.8006359681347,4.356800070621748,0.5974124809741248,8.319874152493724e-05,0.0013359933508368,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
4902,2022,5,0,4,10,10,18,15,2520.3695110021376,1.275563970193304,24.97146118721461,0.3475005773407765,1.242860000839302,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
4903,2023,4,0,1,15,15,18,17,350.83568243639246,0.8169018767167476,4.301750380517504,0.0398470504060955,0.2707052676790645,71000.0,60,One Zone Controlled,Fabric - Passivhaus,71060.0,Fabric - Passivhaus One Zone Controlled
4904,2023,14,0,1,15,15,19,17,153.99859707841944,0.10200834062879144,9.179984779299849,0.1535469850480335,0.7290707543071441,,60,One Zone Controlled,,,
