,year,case,rep,zones_controlled,onoffseed,tempseed,comforttemp,setbacktemp,cost,cumulative_emissions,comfort_violation (%),mean_comfort_violation,std_comfort_violation,building_cost,sensing_cost,control_names,retrofit_name,installation_cost,name
680,2023,2,0,9,10,10,19,15,558.8410540297684,1.87918120858973,43.451293759512936,0.0324214131536836,0.0966617572373523,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
681,2022,4,0,9,10,42,18,13,380.49813117703457,0.37916478827443423,23.224885844748854,0.6157776833275684,1.9317541081175111,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
682,2023,10,0,4,5,42,19,13,1160.664196986311,0.7420304974407268,24.74505327245053,0.0112750240297704,0.0439550686249889,48000.0,240,Partial Control,System - ASHP+PV+Batt,48240.0,System - ASHP+PV+Batt Partial Control
683,2022,1,0,4,15,15,18,13,1319.1396545488021,2.738024002185321,28.708143074581432,0.4602374211228195,1.6945566188219294,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
684,2023,0,0,1,5,42,20,15,991.5203229105265,3.4004279792807948,29.82115677321157,0.0075781236561137,0.0313204937285897,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
685,2022,0,0,4,15,15,21,17,1757.857259060868,3.6450754658459337,40.74391171993912,1.1987612880389975,2.865461491692294,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
686,2023,14,0,9,10,42,20,17,120.859486679651,0.08284559804353848,32.67123287671233,0.7974771026803673,1.7455824078520994,,520,Full Control,,,
687,2023,2,0,4,10,15,18,15,740.0552369787406,2.5568735477621507,25.13318112633181,0.2021594681728721,0.8704025886558235,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
688,2023,10,0,0,10,15,21,17,1852.0627236795879,1.1808001363241911,20.64497716894977,1.2370245409724303,3.2793426381411783,48000.0,0,Manual Control,System - ASHP+PV+Batt,48000.0,System - ASHP+PV+Batt Manual Control
689,2023,5,0,1,15,42,21,17,1784.8186969877697,1.1853003278571481,61.78082191780822,2.9997461108823527,4.402262872837524,28000.0,60,One Zone Controlled,System - ASHP,28060.0,System - ASHP One Zone Controlled
690,2023,5,0,9,10,10,21,17,1819.6357312038297,1.1751727036476187,49.12671232876713,0.0165763262705859,0.0436119966137582,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
691,2022,10,0,1,15,15,18,15,2092.452851102377,1.0705780542544465,14.530060882800608,0.4492545327817022,1.6642554104719955,48000.0,60,One Zone Controlled,System - ASHP+PV+Batt,48060.0,System - ASHP+PV+Batt One Zone Controlled
692,2022,0,0,9,15,15,19,13,1030.3874282782822,2.0850983631431212,41.75228310502283,0.0391124846490885,0.1201912359935138,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
693,2023,0,0,0,15,30,21,17,1023.5418355933975,3.517440754458675,35.49467275494673,2.176299471891097,4.665281317453122,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
694,2023,10,0,4,5,10,21,15,1489.5840638317939,0.9481158109074892,31.035007610350075,0.0229494811545353,0.0714003640195455,48000.0,240,Partial Control,System - ASHP+PV+Batt,48240.0,System - ASHP+PV+Batt Partial Control
695,2023,0,0,9,15,15,19,13,616.8508799915984,2.0783084307124553,43.71765601217656,0.0366072066049408,0.1097423081625162,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
696,2022,1,0,4,10,42,20,15,1281.787315115023,2.62777048043799,49.93340943683409,1.105508100101997,2.87693976619339,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
697,2022,3,0,9,5,30,20,13,504.11288725207805,0.6499941482231404,27.47146118721461,0.741595241023854,2.2712452074368104,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
698,2023,3,0,0,15,15,18,13,456.76857678321846,1.1770505846886832,1.343226788432268,0.016761513559189,0.2202048944323878,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
699,2023,2,0,4,5,42,21,13,703.5632391169082,2.425943972540047,59.09436834094368,1.086869334262762,1.3368808729038155,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
700,2022,5,0,9,15,30,19,15,2061.761959630713,1.038138156769718,38.73668188736682,0.007911932426037,0.0275205165982918,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
701,2022,3,0,9,15,10,21,13,537.6599203884615,0.736224772502846,31.969178082191775,1.1200741443853728,3.018901184940169,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
702,2022,2,0,9,5,10,19,15,938.328438499092,1.8898271729460951,42.43150684931507,0.0347154738479955,0.1098746020348765,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
703,2023,2,0,1,15,42,21,13,633.3375627118473,2.176578539803036,61.411719939117205,3.401551049353069,5.5712908978335465,16000.0,60,One Zone Controlled,Fabric - Shallow,16060.0,Fabric - Shallow One Zone Controlled
704,2023,3,0,0,10,42,18,13,347.6883138588575,0.7739640232988245,4.701293759512938,0.0593668477873307,0.4083792973757216,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
705,2023,4,0,1,15,30,20,15,302.7478301184937,0.6344387761832809,25.35578386605784,0.7878356957861081,2.3243281988250093,71000.0,60,One Zone Controlled,Fabric - Passivhaus,71060.0,Fabric - Passivhaus One Zone Controlled
706,2023,14,0,0,10,15,19,13,205.73762341651937,0.1305354498467765,5.644977168949772,0.0964545184089782,0.6052452349370306,,0,Manual Control,,,
707,2022,1,0,1,5,10,19,13,1884.8384741732161,3.972060336980032,3.974505327245053,0.0047626356951565,0.0360057286705336,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
708,2023,1,0,1,10,42,20,13,772.3722893221665,2.6493123711247324,43.73287671232877,1.662517752655652,4.312544222249015,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
709,2022,14,0,0,10,10,20,13,267.21070196567024,0.13343503778339896,12.471461187214611,0.3215816887389236,1.5879921927130876,,0,Manual Control,,,
710,2022,2,0,4,5,42,18,13,1049.0714628206294,2.156943319131603,22.54946727549467,0.0168120123566966,0.0720251222526094,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
711,2022,10,0,1,5,15,19,17,2951.683302786411,1.4665051189819869,0.9094368340943684,9.267584574287112e-05,0.0016313574783409,48000.0,60,One Zone Controlled,System - ASHP+PV+Batt,48060.0,System - ASHP+PV+Batt One Zone Controlled
712,2023,5,0,4,15,30,21,17,1860.5637964693813,1.2253262569173817,54.00684931506849,1.4158204358068676,3.125846615459063,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
713,2023,3,0,9,10,10,19,17,311.6863830048234,0.644943938660898,21.183409436834093,0.144281887088191,0.5055735773039233,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
714,2023,10,0,1,15,15,21,13,1380.7590628115606,0.9089274254451919,29.65182648401826,1.8746267246632615,4.733214771424606,48000.0,60,One Zone Controlled,System - ASHP+PV+Batt,48060.0,System - ASHP+PV+Batt One Zone Controlled
715,2023,2,0,4,15,10,19,15,692.7677229126217,2.3820254979374758,33.649162861491625,0.5999740649505596,1.8178429919444643,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
716,2022,3,0,4,15,10,20,17,609.9310834469544,0.8711165025605455,21.5734398782344,0.368501657826519,1.2203970864532343,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
717,2022,5,0,0,15,30,21,15,2527.9708528286847,1.3077393263589823,37.69596651445967,2.504053333412388,5.672156406812721,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
718,2022,5,0,0,5,42,20,17,3036.04605897818,1.5335559341269318,15.633561643835616,0.0019317373503923,0.0073846916724843,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
719,2022,2,0,9,5,42,19,13,827.6007215108874,1.681515942729973,43.203957382039576,0.08700199556344,0.3092952086481293,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
720,2022,14,0,9,15,42,21,17,204.2636317180415,0.1021808223252685,37.31925418569254,1.4631514767496667,2.906912724927431,,520,Full Control,,,
721,2022,14,0,1,5,42,21,15,258.3743136930857,0.12435034586893774,43.31050228310502,1.172771388767402,2.1580885849132416,,60,One Zone Controlled,,,
722,2023,10,0,9,15,30,21,17,1311.0501603831226,0.8477030671392026,49.31697108066971,0.0158502756366968,0.0408698756248518,48000.0,520,Full Control,System - ASHP+PV+Batt,48520.0,System - ASHP+PV+Batt Full Control
723,2022,4,0,1,5,30,20,15,581.5777603422584,0.8178277123272346,10.241628614916284,0.1570181132494623,0.902409361289981,71000.0,60,One Zone Controlled,Fabric - Passivhaus,71060.0,Fabric - Passivhaus One Zone Controlled
724,2023,0,0,9,5,15,18,15,668.4332126468987,2.225148487916084,32.73592085235921,0.0022434834055524,0.0101746029419154,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
725,2022,2,0,1,5,42,20,13,1274.3350249896625,2.657677905126861,32.35350076103501,0.0213639490667305,0.1233050309888549,16000.0,60,One Zone Controlled,Fabric - Shallow,16060.0,Fabric - Shallow One Zone Controlled
726,2023,4,0,0,15,30,18,17,329.3903148365032,0.722074721147084,4.337899543378995,0.0474803998963764,0.3336274792577099,71000.0,0,Manual Control,Fabric - Passivhaus,71000.0,Fabric - Passivhaus Manual Control
727,2022,10,0,9,15,42,21,13,1353.1571248277528,0.6660205723091759,49.88013698630137,0.0836990230717712,0.2697482258670006,48000.0,520,Full Control,System - ASHP+PV+Batt,48520.0,System - ASHP+PV+Batt Full Control
728,2022,4,0,0,15,42,19,15,494.9315525041142,0.6291410736108495,15.95509893455099,0.3511924594114778,1.4180629463139585,71000.0,0,Manual Control,Fabric - Passivhaus,71000.0,Fabric - Passivhaus Manual Control
729,2022,14,0,4,10,30,20,17,217.1226562150365,0.10911446296200847,25.17123287671233,0.5590703077258161,1.445918278631546,,240,Partial Control,,,
730,2023,14,0,9,5,30,21,15,88.57806976659998,0.05780989485854539,37.58561643835616,1.9241848262677448,3.973876199202673,,520,Full Control,,,
731,2023,1,0,4,5,10,19,17,1037.670213809638,3.57715269637658,14.396879756468795,0.0004572099525016,0.0028526643468698,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
732,2023,5,0,0,5,15,20,13,2764.532055579835,1.7756483510029801,0.0019025875190258,1.1662704055059024e-06,0.0002673762341677,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
733,2022,0,0,0,5,42,18,13,1690.9958464619508,3.5321939963340387,0.0,0.0,0.0,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
734,2022,14,0,9,5,30,20,13,127.88709749491329,0.06294074500092091,30.462328767123285,1.3782687092138777,3.352963769988016,,520,Full Control,,,
735,2022,4,0,9,15,15,21,17,497.0886162234077,0.6350888333414662,37.46955859969559,1.5133836132756748,3.0445736806981407,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
736,2022,1,0,0,15,15,19,15,1803.4723810657551,3.80387317886251,15.861872146118722,0.7416653042558089,2.4492763783914464,3800.0,0,Manual Control,Fabric - Low cost,3800.0,Fabric - Low cost Manual Control
737,2023,1,0,1,15,15,21,13,1005.8547535057396,3.5354591212899407,29.193302891933023,1.8868394069268923,4.765076503698339,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
738,2022,2,0,4,15,15,18,13,1118.4311442053809,2.3263869946922187,27.045281582952818,0.3190730913574381,1.3590884640798664,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
739,2023,0,0,1,5,30,19,15,1097.9088938282014,3.795265000113679,3.730974124809741,0.0017992074433469,0.0121742293070328,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
740,2022,10,0,0,5,10,21,13,2806.069903581476,1.384468894031638,0.0970319634703196,0.0005442854782278,0.0235760659809292,48000.0,0,Manual Control,System - ASHP+PV+Batt,48000.0,System - ASHP+PV+Batt Manual Control
741,2023,2,0,4,5,30,19,15,742.063993639713,2.5454737578034328,24.126712328767123,0.0142218985126003,0.0516337934143836,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
742,2022,1,0,4,10,30,18,17,1457.826753477303,2.996988860070191,25.273972602739725,0.1759748744625728,0.5520192055471649,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
743,2022,5,0,0,5,15,21,17,4099.328824729951,2.05806732912348,0.0742009132420091,0.0004824701700894,0.0241616215675704,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
744,2023,1,0,4,15,42,18,15,722.4904164070357,2.440551159350758,30.211187214611872,0.6513757777681763,1.7981689369076386,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
745,2022,2,0,0,10,42,19,13,1137.7666585113748,2.366586381350628,18.52359208523592,0.9898458849964178,2.97643427341394,16000.0,0,Manual Control,Fabric - Shallow,16000.0,Fabric - Shallow Manual Control
746,2022,3,0,1,5,30,20,17,679.080935001396,1.0097899432611466,4.101978691019787,0.0295378634158402,0.2595480551561997,51000.0,60,One Zone Controlled,Fabric - Deep,51060.0,Fabric - Deep One Zone Controlled
747,2022,3,0,1,10,10,18,15,653.3953160746933,0.9803628445551308,2.650304414003044,0.0478232081308485,0.4924943276901338,51000.0,60,One Zone Controlled,Fabric - Deep,51060.0,Fabric - Deep One Zone Controlled
748,2022,10,0,0,10,10,18,13,2255.241855697053,1.1517525597447626,12.285007610350076,0.4811980972227817,1.9104766122772512,48000.0,0,Manual Control,System - ASHP+PV+Batt,48000.0,System - ASHP+PV+Batt Manual Control
749,2023,14,0,1,10,42,18,13,117.41953983187581,0.07794531523939835,7.064307458143075,0.1188912475072848,0.6740299018459758,,60,One Zone Controlled,,,
750,2023,3,0,4,15,42,18,15,301.37734690501367,0.6164090212157473,13.447488584474886,0.155466873544579,0.7099238796364268,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
751,2022,0,0,0,15,42,20,15,1406.3897890853434,2.9015041464728664,31.581050228310502,2.138999142655492,4.970826581692922,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
752,2023,5,0,0,10,15,21,15,2367.1307291810617,1.474418271731997,21.22336377473364,1.39053789686618,3.831676231050385,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
753,2023,0,0,9,15,30,21,13,746.4714514016232,2.5743351519544757,52.13470319634703,0.1156277174470364,0.341042236097504,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
754,2022,10,0,9,5,15,19,13,1132.7786080665037,0.5520501046059021,41.91971080669711,0.0245497015633944,0.0764915614370924,48000.0,520,Full Control,System - ASHP+PV+Batt,48520.0,System - ASHP+PV+Batt Full Control
755,2023,5,0,9,15,10,20,13,1409.4448078853354,0.8982113072567137,47.743531202435314,0.0420302335186582,0.1278511537893635,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
756,2022,3,0,1,5,10,18,17,736.4492618749567,1.147012471426047,0.4452054794520548,0.0008309458114677,0.0296639204300959,51000.0,60,One Zone Controlled,Fabric - Deep,51060.0,Fabric - Deep One Zone Controlled
757,2022,5,0,4,5,10,20,13,2827.4172574100603,1.4229285297788767,26.24048706240487,0.0210568687701199,0.0867052080887105,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
758,2022,5,0,1,5,15,18,13,3741.0772245294984,1.874741524529894,2.3401826484018264,0.0012971821376408,0.0178585641284612,28000.0,60,One Zone Controlled,System - ASHP,28060.0,System - ASHP One Zone Controlled
759,2022,3,0,4,10,42,21,17,577.3423130504151,0.7905036382975743,43.27625570776256,1.4345474657386237,2.497018592768298,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
760,2022,4,0,9,15,30,20,13,424.26755504203146,0.4907865478178269,32.38584474885845,1.4921475786801728,3.61795725759505,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
761,2023,2,0,0,5,42,18,15,825.3623708668125,2.836067250687044,0.0,0.0,0.0,16000.0,0,Manual Control,Fabric - Shallow,16000.0,Fabric - Shallow Manual Control
762,2023,1,0,1,10,10,19,13,947.293878977943,3.3002600854953146,19.42161339421613,0.8218052770022392,2.6199769161349638,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
763,2023,3,0,9,15,10,21,13,323.69658593117333,0.7105424486997787,33.64535768645357,1.1415792233574378,3.0000446465019657,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
764,2023,1,0,4,5,15,18,15,1015.5892179982724,3.523460460431525,16.031202435312025,0.0019932747029167,0.0099297230094215,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
765,2022,4,0,4,15,42,18,17,469.3688360136574,0.5542886739071468,13.10882800608828,0.1074962602480238,0.4932767659779395,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
766,2023,1,0,4,5,30,19,17,973.7102597426816,3.3361919600792147,14.7279299847793,0.0004299955851833,0.0026956339902212,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
767,2022,14,0,0,10,42,20,13,211.96263139067742,0.10662573480744712,29.42161339421613,0.64563043732809,1.966663507525525,,0,Manual Control,,,
768,2023,3,0,4,15,42,18,17,322.47449995180983,0.6819419245051265,11.672374429223744,0.0647304439221708,0.3164447964213414,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
769,2023,1,0,1,10,42,19,15,813.1762754954638,2.7730408289969186,23.03082191780822,1.067183103470204,2.9253984472112102,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
770,2023,3,0,9,15,15,20,17,329.52507791581587,0.7107155550865102,28.051750380517504,0.3775143516824779,1.022097913532164,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
771,2022,10,0,1,15,30,18,17,2034.7295459906984,1.0237726240979883,17.581811263318112,0.3203460091000145,0.8959906737936152,48000.0,60,One Zone Controlled,System - ASHP+PV+Batt,48060.0,System - ASHP+PV+Batt One Zone Controlled
772,2022,5,0,0,15,42,21,13,2169.33106171286,1.125864330792371,59.086757990867575,3.8151961412475552,6.4948796253872345,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
773,2023,1,0,0,15,15,21,13,1082.6809634344295,3.8096871514045847,24.47298325722983,1.8577686820097028,4.751951103654934,3800.0,0,Manual Control,Fabric - Low cost,3800.0,Fabric - Low cost Manual Control
774,2023,4,0,0,15,10,19,17,356.49647653594394,0.8251288351065585,7.71689497716895,0.1279108092442051,0.6634557802663531,71000.0,0,Manual Control,Fabric - Passivhaus,71000.0,Fabric - Passivhaus Manual Control
775,2023,0,0,1,5,30,19,17,1141.3350540780773,3.939483903469202,0.837138508371385,6.286583268726986e-05,0.0009712302963276,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
776,2022,1,0,4,10,30,19,13,1212.131571288447,2.5094524631200508,35.920852359208524,0.7844930703821059,2.383784575934293,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
777,2023,5,0,0,15,10,18,13,1807.448560173433,1.2035342074965856,14.832572298325722,0.6191812805808521,2.3210385792950543,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
778,2022,1,0,1,5,30,18,13,1681.735486287476,3.5280699400887348,3.272450532724505,0.0027300145122171,0.0216190452175507,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
779,2023,4,0,0,15,42,19,15,294.6362826370322,0.5992965858667803,17.136605783866056,0.365440831762303,1.3947527096037466,71000.0,0,Manual Control,Fabric - Passivhaus,71000.0,Fabric - Passivhaus Manual Control
780,2023,14,0,0,5,42,20,15,185.17920654216258,0.1209022299567791,32.64269406392694,0.2628610778048575,0.7092525569311044,,0,Manual Control,,,
781,2022,3,0,9,5,10,19,13,469.05180117117095,0.5637340169830108,23.272450532724505,0.4751445613000989,1.669862406767704,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
782,2023,2,0,9,10,10,18,13,446.75537396210564,1.4916236346740566,39.20471841704718,0.0381505428062502,0.1317264602006323,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
783,2022,1,0,1,10,42,21,15,1354.3026319197159,2.7962347825366263,59.33789954337899,2.982833942400068,4.734457150333455,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
784,2023,1,0,9,15,42,21,17,903.5862004195255,3.090935807848471,51.52016742770168,0.0374578526297002,0.0887261942349276,3800.0,520,Full Control,Fabric - Low cost,4320.0,Fabric - Low cost Full Control
785,2022,4,0,1,10,30,18,13,514.0470956416748,0.6883864968906666,6.255707762557078,0.1569594810632393,1.0770004362740822,71000.0,60,One Zone Controlled,Fabric - Passivhaus,71060.0,Fabric - Passivhaus One Zone Controlled
786,2023,0,0,0,15,10,19,15,1037.0775908433136,3.611698346442111,18.605403348554034,1.009828460645511,2.920947527356456,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
787,2023,3,0,4,10,42,19,17,329.79682517047104,0.7085853815571127,19.86491628614916,0.1921559143450122,0.6566695450977481,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
788,2022,1,0,0,10,10,21,13,1683.9496179686116,3.5507016803853886,21.91590563165905,1.677182762663398,4.498739401509304,3800.0,0,Manual Control,Fabric - Low cost,3800.0,Fabric - Low cost Manual Control
789,2022,10,0,1,10,42,19,13,1695.8262945913082,0.8477857138538848,23.474124809741248,1.202415107313224,3.439790947319897,48000.0,60,One Zone Controlled,System - ASHP+PV+Batt,48060.0,System - ASHP+PV+Batt One Zone Controlled
790,2023,10,0,9,5,10,19,17,1203.7873290626508,0.7939270435337059,36.29756468797565,0.0007765344837766,0.003272876372068,48000.0,520,Full Control,System - ASHP+PV+Batt,48520.0,System - ASHP+PV+Batt Full Control
791,2022,4,0,4,15,42,19,15,450.70363627132605,0.532884165449615,22.01103500761035,0.5957179529154677,1.7788580681989357,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
792,2022,10,0,4,15,15,19,17,1985.249882706338,0.9980142912860295,27.63888888888889,0.4095834155049057,1.1973561792068876,48000.0,240,Partial Control,System - ASHP+PV+Batt,48240.0,System - ASHP+PV+Batt Partial Control
793,2023,0,0,9,10,30,20,17,898.6416013023711,3.0508139763024302,42.02625570776256,0.0054222004976782,0.0188643366029278,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
794,2023,10,0,9,15,15,19,15,990.0636087676015,0.6434131510559942,40.136986301369866,0.0070855885718477,0.024254388301317,48000.0,520,Full Control,System - ASHP+PV+Batt,48520.0,System - ASHP+PV+Batt Full Control
795,2022,10,0,4,5,15,18,13,1950.1120959865232,0.9661276426855133,18.77663622526636,0.0044912965240005,0.0220706056292633,48000.0,240,Partial Control,System - ASHP+PV+Batt,48240.0,System - ASHP+PV+Batt Partial Control
796,2023,4,0,0,5,15,20,15,463.0918543885977,1.1941052668036447,0.989345509893455,0.0078726860289804,0.1198583967808991,71000.0,0,Manual Control,Fabric - Passivhaus,71000.0,Fabric - Passivhaus Manual Control
797,2023,3,0,9,10,30,21,13,323.69658593117333,0.7105424486997787,33.64535768645357,1.1415792233574378,3.0000446465019657,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
798,2023,5,0,1,5,10,20,15,2409.1016183653637,1.5487960752665164,5.568873668188737,0.0038765710258315,0.027884868726081,28000.0,60,One Zone Controlled,System - ASHP,28060.0,System - ASHP One Zone Controlled
799,2023,10,0,0,5,30,20,13,1632.1919912571068,1.0441297243840764,0.0019025875190258,8.766288727720894e-07,0.0002009737413021,48000.0,0,Manual Control,System - ASHP+PV+Batt,48000.0,System - ASHP+PV+Batt Manual Control
800,2022,10,0,0,10,42,21,13,1870.4783099840279,0.9435983930111704,59.7279299847793,3.276550835186375,5.40008823534631,48000.0,0,Manual Control,System - ASHP+PV+Batt,48000.0,System - ASHP+PV+Batt Manual Control
801,2023,1,0,1,15,15,19,13,994.3382690959344,3.490044680571016,20.02853881278539,0.8538713371128047,2.7785491069277466,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
802,2022,5,0,4,10,30,19,17,2704.5045639842433,1.3724754312608547,28.06316590563166,0.4124362692115705,1.1782649391624027,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
803,2023,4,0,1,10,30,19,17,323.22668096084584,0.7006010705833614,11.015981735159816,0.1653071941864621,0.7188670788635121,71000.0,60,One Zone Controlled,Fabric - Passivhaus,71060.0,Fabric - Passivhaus One Zone Controlled
804,2022,10,0,9,15,42,20,13,1239.0392164403934,0.6071793890365873,46.06544901065449,0.0461102654813442,0.1400732892649547,48000.0,520,Full Control,System - ASHP+PV+Batt,48520.0,System - ASHP+PV+Batt Full Control
805,2022,4,0,4,10,10,21,17,528.8287236353882,0.7137534602419174,33.517884322678846,1.2285154868666566,2.7158866189111555,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
806,2023,14,0,0,5,15,19,17,315.91697262722073,0.1988524094482656,0.167427701674277,0.0009895662359153,0.0365661469977662,,0,Manual Control,,,
807,2023,2,0,9,5,42,19,13,494.57226173061844,1.6724923197412656,44.43302891933029,0.0796498326947911,0.2738054815776297,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
808,2023,1,0,1,5,15,19,17,1310.8029804257949,4.592965476115138,0.6982496194824962,0.0001298180087793,0.0019312619334008,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
809,2023,4,0,9,15,15,18,15,235.60700986491742,0.3934116232625067,23.190639269406397,0.4209671968579741,1.2479401188182653,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
810,2023,14,0,4,15,10,18,15,90.66389034018914,0.06125542583975309,12.256468797564688,0.22423828265317,0.9198322630240776,,240,Partial Control,,,
811,2023,14,0,1,5,10,20,17,240.33830829258287,0.1522415394269619,4.145738203957381,0.0415462046559937,0.2991748840776241,,60,One Zone Controlled,,,
812,2023,14,0,9,10,15,19,13,58.82999999056522,0.03932690911757183,28.6396499238965,0.9094391282678456,2.490976340136479,,520,Full Control,,,
813,2022,1,0,1,5,10,19,17,1964.6447702519652,4.123056846949999,0.6050228310502284,8.365928687869272e-05,0.0014691847295062,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
814,2022,1,0,1,15,42,20,15,1311.1094272068854,2.6992723600048096,41.38318112633181,2.019830978959353,4.676718640527606,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
815,2023,10,0,9,10,15,20,13,915.134760771016,0.5835327060008114,48.44178082191781,0.0410476415562005,0.119395336252922,48000.0,520,Full Control,System - ASHP+PV+Batt,48520.0,System - ASHP+PV+Batt Full Control
