,case,zones_controlled,name,retrofit_name,installation_cost,mean_emissions,std_emissions,mean_cost,std_cost,mean_comfort,std_comfort,bill_saving,payback,relative_emissions,relative_emissions_std,relative_cost,relative_cost_std
13,3,1,Fabric - Deep One Zone Controlled,Fabric - Deep,51060.0,0.9775640845710052,0.16591892681694279,656.5638777772242,72.49454229779742,14.0578756553357,14.942130715110789,1155.8054420789813,44.17698527890375,-74.24155178823821,4.371901700583483,-63.773174121634526,3.9999872820374813
14,3,4,Fabric - Deep Partial Control,Fabric - Deep,51240.0,0.8407487309875901,0.11251337078686413,594.3727839066452,49.25227958696184,20.255541286149164,10.816078787071005,1217.9965359495604,42.06908516373806,-77.84658521313007,2.9646852623641804,-67.20465429453401,2.7175630842652723
15,3,9,Fabric - Deep Full Control,Fabric - Deep,51520.0,0.6472396888000329,0.09741648012742274,509.8002623905598,42.65042776307316,24.786434550989345,5.465250066538961,1302.5690574656458,39.55260544898887,-82.94547614045297,2.566887836755501,-71.87106089221331,2.3532967202544057
16,4,0,Fabric - Passivhaus Manual Control,Fabric - Passivhaus,71000.0,0.8526640368928282,0.15670821733522505,592.0680165825202,68.40917570840732,13.606006928042829,13.450857570317178,1220.3013032736853,58.18235202202054,-77.53262135650776,4.129202948733853,-67.33182303982639,3.77457149373037
17,4,1,Fabric - Passivhaus One Zone Controlled,Fabric - Passivhaus,71060.0,0.7713680383716909,0.13175375001164938,553.1661463679865,57.18976651180475,16.675109398782343,13.214048601973301,1259.203173488219,56.432513430815966,-79.67474052882692,3.4716620628199566,-69.47828787943314,3.1555249741450173
18,4,4,Fabric - Passivhaus Partial Control,Fabric - Passivhaus,71240.0,0.6525688134692162,0.08778825384898195,500.3760777198029,38.563874014639964,22.774910684085913,9.885442052561137,1311.9932421364026,54.299060171983314,-82.8050556974644,2.313187673381376,-72.39105339967337,2.1278154287945927
19,4,9,Fabric - Passivhaus Full Control,Fabric - Passivhaus,71520.0,0.5044557680937269,0.07258160883415633,437.71779350033484,33.05392988715507,28.884132420091323,7.085853524264592,1374.6515263558706,52.02773112222542,-86.70777907796288,1.912498261534863,-75.84831145039117,1.8237965918435208
20,5,0,System - ASHP Manual Control,System - ASHP,28000.0,1.5465600024240655,0.2336780623999827,3038.089458443914,485.61074267129186,17.007019891880546,15.027601230952405,-1225.7201385877083,-22.843713763454996,-59.24872204536386,6.1573295946078614,67.6308148211733,26.794248686013983
21,5,1,System - ASHP One Zone Controlled,System - ASHP,28060.0,1.4901769139520604,0.2055834589382444,2932.215453588776,424.66109301551074,20.899276488246237,15.186049798687637,-1119.8461337325707,-25.057013776055935,-60.734395350416456,5.4170472952466415,61.78906922908075,23.43126692572812
22,5,4,System - ASHP Partial Control,System - ASHP,28240.0,1.3303347437568829,0.15025049670500862,2623.959727447085,304.4137993061238,33.03331906392694,11.573146090369745,-811.5904075908793,-34.79587700380475,-64.94617678552814,3.9590444240449543,44.780630454242704,16.796455113810698
23,5,9,System - ASHP Full Control,System - ASHP,28520.0,1.096594544485916,0.14531623641348326,2173.54290977825,284.0301297091288,40.98617453069508,5.607309806889591,-361.17358992204436,-78.96479918743714,-71.10514366345946,3.829028509806059,19.928255569383623,15.671757770191338
24,10,0,System - ASHP+PV+Batt Manual Control,System - ASHP+PV+Batt,48000.0,1.1651898861853027,0.18158669891682858,2311.2483628102664,382.2398934582028,17.066157560489163,15.160567321470596,-498.8790429540609,-96.21570735016837,-69.29768205084595,4.7847416387505035,27.526345623288428,21.090618190807266
25,10,1,System - ASHP+PV+Batt One Zone Controlled,System - ASHP+PV+Batt,48060.0,1.0833336892049898,0.1657199163707186,2157.8183995669806,339.7428819057838,21.195089210214782,15.28626838199822,-345.4490797107751,-139.12325382437814,-71.45456224316035,4.366657849716238,19.060633830315734,18.745786423527587
26,10,4,System - ASHP+PV+Batt Partial Control,System - ASHP+PV+Batt,48240.0,0.8907820642118952,0.11758323196433937,1787.0134846644798,235.54517071616624,33.60889142567225,11.661453955536423,25.355835191725646,1902.5206480180202,-76.52822558529488,3.0982742092597966,-1.3990435014502118,12.996532667792819
27,10,9,System - ASHP+PV+Batt Full Control,System - ASHP+PV+Batt,48520.0,0.6995621829837294,0.11480120302865486,1414.4575100103357,218.02019565123516,41.71454845256215,5.645977118080976,397.9118098458698,121.93656684578954,-81.56679797703374,3.024968786736116,-21.95533799244849,12.029567774217952
