,episode_num,cost,gas_cost,electricity_cost,cumulative_reward,mean_reward,cumulative_emissions,mean_emissions,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_emissions_penalty,mean_emissions_penalty,cumulative_air_quality_penalty,mean_air_quality_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,mean_air_quality_violation,std_air_quality_violation,cumulative_air_quality_violation,length(timesteps),time_elapsed(seconds),year,case,rep,zones_controlled,onoffseed,tempseed,filename,Unnamed: 0
314,0,107038.25913863888,107038.25913863888,0.0,-441916.7083422224,-8.407852137409103,3713.464778265734,0.0706519173947057,-70398.31999918031,-1.3393896499083011,-111403.943347972,-2.119557521841172,-283950.38854172174,-5.402404652620277,23.63584474885845,1.3393896499083011,3.4800884574378084,28395038.854172166,540.2404652620276,623.8176659679839,70398.31999918031,52560,31536000,2023,0,0,0,15,30,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_0_onoffseed_15_tempseed_30_paper2_final_runs_v1-res3_progress.csv,
321,0,155897.7969381952,155897.7969381952,0.0,-482095.5359324276,-9.17228949643127,3250.9983434682595,0.061853088726565,-52725.78343266532,-1.003154174898503,-97529.95030404776,-1.855592661796952,-301829.7648246248,-5.742575434258463,25.439497716894977,1.003154174898503,2.6146746224481654,30182976.482462484,574.2575434258464,640.0895717649156,52725.78343266532,52560,31536000,2022,0,0,4,15,30,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_4_onoffseed_15_tempseed_30_paper2_final_runs_v1-res2_progress.csv,
343,0,124284.81370460975,124284.81370460975,0.0,-380065.27579399385,-7.231074501407797,4343.339271707623,0.0826358308924585,-375.1659897089261,-0.0071378612958319,-130300.17815122868,-2.479074926773757,-278012.7037125437,-5.289435002141243,4.779299847792998,0.0071378612958319,0.0674458022398096,27801270.371254373,528.9435002141244,601.5948541720904,375.1659897089261,52560,31536000,2023,0,0,4,5,15,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_4_onoffseed_5_tempseed_15_paper2_final_runs_v1-res2_progress.csv,
364,0,142432.41786699308,142432.41786699308,0.0,-420157.4084609814,-7.993862413641199,2951.908865402867,0.0561626496461732,-2279.399576536085,-0.0433675718519042,-88557.265962086,-1.684879489385198,-301354.04782745824,-5.733524502044487,11.23097412480974,0.0433675718519042,0.2600165670250774,30135404.78274582,573.3524502044486,637.4217647594879,2279.399576536085,52560,31536000,2022,0,0,9,5,30,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_9_onoffseed_5_tempseed_30_paper2_final_runs_v1-res1_progress.csv,
373,0,142432.41786699308,142432.41786699308,0.0,-420157.4084609814,-7.993862413641199,2951.908865402867,0.0561626496461732,-2279.399576536085,-0.0433675718519042,-88557.265962086,-1.684879489385198,-301354.04782745824,-5.733524502044487,11.23097412480974,0.0433675718519042,0.2600165670250774,30135404.78274582,573.3524502044486,637.4217647594879,2279.399576536085,52560,31536000,2022,0,0,9,10,42,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_9_onoffseed_10_tempseed_42_paper2_final_runs_v1-res1_progress.csv,
375,0,86464.38924055232,86464.38924055232,0.0,-370322.0397949705,-7.045700909341143,2961.180426702392,0.0563390492142768,-1952.170947932172,-0.0371417608054066,-88835.41280107175,-1.6901714764283058,-297633.35200934246,-5.662735007788099,12.3382800608828,0.0371417608054066,0.2189081993906933,29763335.20093425,566.2735007788099,629.8419070257769,1952.170947932172,52560,31536000,2023,0,0,9,10,15,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_9_onoffseed_10_tempseed_15_paper2_final_runs_v1-res1_progress.csv,
386,0,86464.38924055232,86464.38924055232,0.0,-370322.0397949705,-7.045700909341143,2961.180426702392,0.0563390492142768,-1952.170947932172,-0.0371417608054066,-88835.41280107175,-1.6901714764283058,-297633.35200934246,-5.662735007788099,12.3382800608828,0.0371417608054066,0.2189081993906933,29763335.20093425,566.2735007788099,629.8419070257769,1952.170947932172,52560,31536000,2023,0,0,9,5,42,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_9_onoffseed_5_tempseed_42_paper2_final_runs_v1-res3_progress.csv,
395,0,158902.1037149956,158902.1037149956,0.0,-471759.8781310477,-8.975644561092992,3314.738562290308,0.0630658021744731,-42353.45102249992,-0.8058114730308203,-99442.15686870924,-1.891974065234194,-299408.6160593099,-5.6965109600325325,22.100456621004565,0.8058114730308203,2.2861222082008563,29940861.605930988,569.6510960032532,632.2830864686758,42353.45102249992,52560,31536000,2022,0,0,4,10,30,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_4_onoffseed_10_tempseed_30_paper2_final_runs_v1-res1_progress.csv,
433,0,129662.0885257179,129662.0885257179,0.0,-369720.7365833612,-7.034260589485564,4500.875171770735,0.0856330892650444,-5.7654865771675325,-0.0001096934280283,-135026.25515312204,-2.568992677951333,-263638.41647389415,-5.015951607189767,0.0323439878234398,0.0001096934280283,0.0081386358125348,26363841.64738942,501.5951607189768,604.5575726986165,5.7654865771675325,52560,31536000,2023,0,0,0,5,30,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_0_onoffseed_5_tempseed_30_paper2_final_runs_v1-res1_progress.csv,
444,0,187700.1451594912,187700.1451594912,0.0,-429946.89041143184,-8.18011587540776,3927.782477640657,0.0747294991940764,-188.9808791067319,-0.00359552661923,-117833.4743292197,-2.2418849758222925,-276200.4207773453,-5.254954733206722,10.150304414003044,0.00359552661923,0.021952410180066,27620042.077734526,525.4954733206721,625.5775283231607,188.9808791067319,52560,31536000,2022,0,0,0,5,42,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_0_onoffseed_5_tempseed_42_paper2_final_runs_v1-res4_progress.csv,
