filename,year,case,rep,zones_controlled,onoffseed,tempseed,comforttemp,setbacktemp,Percent at 15,Percent at 16,Percent at 17,Percent at 18,Percent at 19,Percent at 20,Percent at 21,Percent at 22,Percent at 23,Percent at 24,Percent at 25 or above,Percent at 15 or below
./Eplus-env-08-19_thermostat_rbc_eco_year_2022_case_11_rep_0_zone_0_onoffseed_15_tempseed_30_comforttemp_20_setbacktemp_15_paper2_final_runs_v4-res1,2022,11,0,0,15,30,20,15,2.320305249046097,3.9187377539445194,5.207796225636795,5.826544292049087,16.85057234196143,20.41868619160565,7.899350314530267,5.960606373105084,5.321233371145715,5.310920903372177,20.573373208208725,0.3918737753944519
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_7_rep_0_zone_0_onoffseed_5_tempseed_15_comforttemp_20_setbacktemp_17_paper2_final_runs_v4-res1,2023,7,0,0,5,15,20,17,0.0,0.0,0.0,0.0,0.0,0.21656182324430237,11.591213777456945,46.60204186861916,13.653707332164586,6.950603279364752,20.985871919150252,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2022_case_13_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_18_setbacktemp_15_paper2_final_runs_v4-res1,2022,13,0,9,5,42,18,15,0.2681241621119934,14.0352686397855,16.304011549963906,7.074352892647211,5.795606888728472,5.321233371145715,5.383108177786944,4.7952975146952665,4.88810972465711,4.537485820356811,31.597401258121067,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_13_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_18_setbacktemp_13_paper2_final_runs_v4-res1,2023,13,0,9,5,42,18,13,3.4340517685882235,12.777147571413838,16.63401051871713,7.65185108796535,5.310920903372177,5.383108177786944,4.558110755903888,3.7949881406620602,4.527173352583273,5.630607404351862,30.298030318655258,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2022_case_13_rep_0_zone_0_onoffseed_5_tempseed_10_comforttemp_20_setbacktemp_17_paper2_final_runs_v4-res1,2022,13,0,0,5,10,20,17,0.0,0.0,0.0,0.0,0.05156233886769104,9.755594513767145,28.82334742703929,12.560585748169537,7.476539135815201,6.713416520573373,34.618954315767766,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_13_rep_0_zone_0_onoffseed_15_tempseed_42_comforttemp_20_setbacktemp_15_paper2_final_runs_v4-res1,2023,13,0,0,15,42,20,15,0.3609363720738373,1.1962462617304321,2.939053315458389,11.024028049912344,20.346498917190882,11.21996493760957,6.826853666082293,5.23873362895741,5.187171290089719,5.651232339898938,30.009281220996186,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_8_rep_0_zone_0_onoffseed_5_tempseed_15_comforttemp_20_setbacktemp_13_paper2_final_runs_v4-res1,2023,8,0,0,5,15,20,13,0.0,0.0,0.0,0.0,0.010312467773538208,0.1546870166030731,11.611838713004023,35.08301536557698,11.147777663194802,7.002165618232444,34.99020315561514,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_1_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_19_setbacktemp_17_paper2_final_runs_v4-res1,2023,1,0,9,5,42,19,17,0.0,0.04124987109415283,17.1393214396205,32.56677322883366,7.074352892647211,5.558420129937094,5.589357533257709,5.919356502010931,5.372795710013406,4.7849850469217285,15.953387645663607,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2022_case_2_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_19_setbacktemp_15_paper2_final_runs_v4-res1,2022,2,0,9,5,42,19,15,0.0,3.9187377539445194,26.729916469011034,18.696504073424773,6.764978859441065,5.032484273486645,4.723110240280499,4.702485304733423,4.8056099824688046,5.084046612354336,19.542126430854903,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_8_rep_0_zone_0_onoffseed_15_tempseed_30_comforttemp_20_setbacktemp_17_paper2_final_runs_v4-res1,2023,8,0,0,15,30,20,17,0.010312467773538208,0.2887490976590698,1.5468701660307311,3.7434258017943693,13.241208621223057,21.553057646694853,9.930906465917294,6.6721666494792204,5.414045581107559,5.7440445498607815,31.85521295245952,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_9_rep_0_zone_0_onoffseed_5_tempseed_15_comforttemp_20_setbacktemp_13_paper2_final_runs_v4-res1,2023,9,0,0,5,15,20,13,0.0,0.0,0.0,0.0,0.0,0.010312467773538208,7.424976796947509,31.97896256574198,16.499948437661132,7.806538104568424,36.27926162730741,0.0
