,sensors,room,equipment,comments,relevant
227,sensor.national_grid_grid_demand_three_day_forecast.json,,,,
228,sensor.national_grid_grid_generation.json,,,,
229,sensor.national_grid_grid_generation_belgium_mwh.json,,,,
230,sensor.national_grid_grid_generation_biomass_mwh.json,,,,
231,sensor.national_grid_grid_generation_coal_mwh.json,,,,
232,sensor.national_grid_grid_generation_denmark_mw.json,,,,
233,sensor.national_grid_grid_generation_embedded_wind_mwh.json,,,,
234,sensor.national_grid_grid_generation_fossil_fuel_percentage.json,,,,
235,sensor.national_grid_grid_generation_france_mwh.json,,,,
236,sensor.national_grid_grid_generation_gas_mwh.json,,,,
237,sensor.national_grid_grid_generation_hydro_mwh.json,,,,
238,sensor.national_grid_grid_generation_ireland_mwh.json,,,,
239,sensor.national_grid_grid_generation_low_carbon_percentage.json,,,,
240,sensor.national_grid_grid_generation_low_carbon_with_biomass_percentage.json,,,,
241,sensor.national_grid_grid_generation_national_wind_mwh.json,,,,
242,sensor.national_grid_grid_generation_netherlands_mwh.json,,,,
243,sensor.national_grid_grid_generation_norway_mwh.json,,,,
244,sensor.national_grid_grid_generation_nuclear_mwh.json,,,,
245,sensor.national_grid_grid_generation_oil_mwh.json,,,,
246,sensor.national_grid_grid_generation_other_mwh.json,,,,
247,sensor.national_grid_grid_generation_other_percentage.json,,,,
248,sensor.national_grid_grid_generation_pumped_storage_mwh.json,,,,
249,sensor.national_grid_grid_generation_renewable_percentage.json,,,,
250,sensor.national_grid_grid_generation_solar_mwh.json,,,,
251,sensor.national_grid_grid_generation_total_mwh.json,,,,
252,sensor.national_grid_grid_generation_wind_mwh.json,,,,
253,sensor.national_grid_today_wind_peak.json,,,,
254,sensor.national_grid_today_wind_peak_time.json,,,,
255,sensor.national_grid_tomorrow_wind_peak.json,,,,
256,sensor.national_grid_tomorrow_wind_peak_time.json,,,,
257,sensor.national_grid_total_demand_mwh.json,,,,
258,sensor.national_grid_total_transfers_mwh.json,,,,
259,sensor.national_grid_wind_forecast.json,,,,
260,sensor.national_grid_wind_forecast_earliest.json,,,,
261,sensor.national_grid_wind_forecast_fourteen_day.json,,,,
262,sensor.national_grid_wind_forecast_now_to_three_day.json,,,,
263,sensor.outdoorsensor_wifi_signal.json,,,,
264,sensor.parking_all_count.json,,,,
265,sensor.parking_person_count.json,,,,
266,sensor.particulate_matter_2_5um_concentration.json,,,,
267,sensor.pir_2_kitchen_battery.json,,,,
268,sensor.pir_2_kitchen_illuminance.json,,,,
269,sensor.pir_entrance_battery.json,,,,
270,sensor.pir_kitchen_battery.json,,,,
271,sensor.presence_sensor_fp2_77e2_light_sensor_light_level.json,,,,
272,sensor.shoffice_heater_activity_state.json,,,,
273,sensor.shoffice_heater_current.json,,,,
274,sensor.shoffice_heater_daily_energy.json,,,,
275,sensor.shoffice_heater_power.json,,,,
276,sensor.shoffice_heater_voltage.json,,,,
277,sensor.shoffice_heater_wifi_status.json,,,,
278,sensor.shoffice_light_activity_state.json,,,,
279,sensor.shoffice_light_current.json,,,,
280,sensor.shoffice_light_daily_energy.json,,,,
281,sensor.shoffice_light_power.json,,,,
282,sensor.shoffice_light_voltage.json,,,,
283,sensor.shoffice_light_wifi_status.json,,,,
284,sensor.shofficepcplug_activity_state.json,,,,
285,sensor.shofficepcplug_current.json,,,,
286,sensor.shofficepcplug_daily_energy.json,,,,
287,sensor.shofficepcplug_power.json,,,,
288,sensor.shofficepcplug_voltage.json,,,,
289,sensor.shofficepcplug_wifi_status.json,,,,
290,sensor.smarttag_alarm.json,,,,
291,sensor.smarttag_alarm_2.json,,,,
292,sensor.smarttag_battery.json,,,,
293,sensor.smarttag_battery_2.json,,,,
294,sensor.smarttag_volume.json,,,,
295,sensor.smarttag_volume_2.json,,,,
296,sensor.sonoffpow_r2_001_sonoff_pow_current.json,,,,
297,sensor.sonoffpow_r2_001_sonoff_pow_power.json,,,,
298,sensor.sonoffpow_r2_001_sonoff_pow_uptime.json,,,,
299,sensor.sonoffpow_r2_001_sonoff_pow_version.json,,,,
300,sensor.sonoffpow_r2_001_sonoff_pow_voltage.json,,,,
301,sensor.sonoffpow_r2_001_sonoff_pow_wifi_signl.json,,,,
302,sensor.spotlight_wifi_signal.json,,,,
303,sensor.studypcplug_activity_state.json,,,,
304,sensor.studypcplug_current.json,,,,
305,sensor.studypcplug_daily_energy.json,,,,
306,sensor.studypcplug_power.json,,,,
307,sensor.studypcplug_voltage.json,,,,
308,sensor.studypcplug_wifi_status.json,,,,
309,sensor.switch_1st_floor_landing_2_button_up_action.json,,,,
310,sensor.switch_1st_floor_landing_2_button_up_battery.json,,,,
311,sensor.switch_1st_floor_landing_action.json,,,,
312,sensor.switch_1st_floor_landing_battery.json,,,,
313,sensor.switch_2nd_floor_landing_2_button_action.json,,,,
314,sensor.switch_2nd_floor_landing_2_button_battery.json,,,,
315,sensor.switch_dining_room_4_button_action.json,,,,
316,sensor.switch_dining_room_4_button_battery.json,,,,
317,sensor.switch_entrance_2_button_action.json,,,,
318,sensor.switch_entrance_2_button_battery.json,,,,
319,sensor.switch_iain_room_action.json,,,,
320,sensor.switch_iain_room_battery.json,,,,
321,sensor.switch_master_bedroom_4_button_r_action.json,,,,
322,sensor.switch_master_bedroom_4_button_r_battery.json,,,,
323,sensor.switch_master_bedroom_4_button_t_action.json,,,,
